@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
47.15,5.7,477.81,E,52227,47.73,634.45,5.36,2500,1000,'Центр города',1,1.14,24.23,526.39,'около 5 000',Нормальный,5,'более 200'
47.15,5.7,477.81,E,52227,47.73,634.45,5.36,775,1000,'Фешенебельный район',1,0,25.79,483.45,'около 500',Элитный,5,'около 10 000'
47.15,5.7,477.81,E,52227,47.73,634.45,5.36,1500,1000,'Спальный район',2,0,15.12,492,'около 5 000',Низкий,5,'около 500'
47.15,5.7,477.81,E,52227,47.73,634.45,5.36,700,1000,'Спальный район',1,3.47,13.56,491.81,'около 5 000',Высокий,5,'более 10 000'
8.47,6.81,251.68,E,26053,90.79,381.13,1,221,10000,Пригород,3,0.76,19.93,319.17,'более 1 000',Элитный,2,'около 500'
8.47,6.81,251.68,E,26053,90.79,381.13,1,600,10000,'Центр города',1,0,26.39,191.5,'более 1 000',Элитный,2,'около 2 000'
29.42,5.32,475.18,E,37273,90.01,264.22,3.61,850,10000,'Центр города',1,0,39.81,698.37,'более 100 000',Нормальный,3,'более 1 000'
29.42,5.32,475.18,E,37273,90.01,264.22,3.61,340,10000,Окраина,2,0.76,19.93,279.71,'более 2 000',Элитный,3,'около 1 000'
14.08,5.24,255.26,E,22488,92.44,632.22,1,635,1000,'Центр города',2,0,7.23,280.72,'более 1 000','Очень высокий',2,'около 500'
14.08,5.24,255.26,E,22488,92.44,632.22,1,619,10000,Пригород,2,0,13.62,294.51,'более 1 000',Элитный,2,'около 1 000'
15.52,4.53,210.95,E,34418,90.6,253.7,4.11,341,10000,Пригород,2,0.76,19.93,265.17,'более 1 000',Элитный,3,'около 2 000'
15.52,4.53,210.95,E,34418,90.6,253.7,4.11,540,10000,'Центр города',1,0,26.46,148.86,'более 1 000',Высокий,3,'более 1 000'
15.03,5.25,240.61,E,34409,96.37,548,1,200,10000,'Спальный район',2,0.76,19.93,270.85,'более 3 000',Элитный,1,'более 1 000'
23.07,6.21,324.96,E,72247,88.91,258.69,4.57,450,10000,'Центр города',1,1.51,15.9,487.94,'более 20 000',Элитный,4,'около 5 000'
23.07,6.21,324.96,E,72247,88.91,258.69,4.57,305,10000,Пригород,2,0.76,19.93,244.38,'более 1 000',Элитный,4,'около 1 000'
3.93,4.75,173.79,E,13195,79.14,57.56,1.41,200,10000,'Центр города',1,0.84,22.98,343.81,'около 5 000',Элитный,3,'более 2 000'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,1000,10000,'Центр города',1,2.47,32.46,554.81,'около 50 000','Очень высокий',12,'около 30 000'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,900,10000,'Фешенебельный район',1,2.47,32.46,554.81,'более 10 000',Элитный,12,'более 20 000'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,750,10000,'Центр города',1,0,19.62,392.05,'более 10 000',Элитный,12,'более 20 000'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,1200,10000,'Центр города',1,0.84,26.96,427.35,'более 20 000','Очень высокий',12,'около 5 000'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,1010,10000,'Центр города',1,0,17.94,620.01,'около 100 000',Нормальный,12,'около 5 000'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,700,10000,'Центр города',2,0.14,22.32,425.01,'более 20 000','Очень высокий',12,'около 5 000'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,700,10000,Пригород,2,0.76,8.01,173.74,'более 1 000',Элитный,12,'менее 50'
26.2,5.22,274.68,E,274031,63.93,370.8,7.14,900,10000,'Центр города',1,0,12.84,393.35,'более 10 000',Элитный,12,'около 500'
11.81,4.2,302.84,E,12554,88.7,306.88,5.52,900,10000,'Центр города',1,3.07,23.21,373.25,'около 5 000',Элитный,2,'около 500'
11.81,4.2,302.84,E,12554,88.7,306.88,5.52,800,10000,'Фешенебельный район',2,0,30.68,586.88,'около 5 000',Элитный,2,'более 1 000'
10.55,5.93,296.99,E,10190,98.11,704.26,1,1400,10000,'Центр города',2,1.18,26.08,597.7,'более 30 000',Нормальный,4,'менее 50'
4.58,6.77,182.59,E,20951,94.95,225.7,1,471.33,100000,'Фешенебельный район',8,1.12,25.54,542.74,'около 50 000',Элитный,2,'около 1 000'
14.83,3.9,242.55,E,15213,90.42,246.75,4.5,550,1000,'Центр города',1,0,26.35,202.12,'около 500',Высокий,2,'около 200'
17.91,8.19,228.82,E,122835,90.28,243.65,4.4,502.78,100000,'Фешенебельный район',8,1.12,25.54,452.23,'более 20 000',Элитный,7,'около 1 000'
17.91,8.19,228.82,E,122835,90.28,243.65,4.4,650,100000,'Центр города',4,3.26,19.41,355.8,'около 50 000','Очень высокий',7,'более 10 000'
17.91,8.19,228.82,E,122835,90.28,243.65,4.4,900,100000,'Центр города',1,0,14.5,440.57,'более 100 000',Элитный,7,'более 100'
19.93,8.1,472.86,E,248384,92.06,415.38,1,1800,100000,'Центр города',1,1.34,15.86,565.98,'около 500 000','Очень высокий',7,'менее 50'
19.93,8.1,472.86,E,248384,92.06,415.38,1,699,10000,'Центр города',1,4.13,10.97,64.68,'более 1 000',Элитный,7,'более 2 000'
19.93,8.1,472.86,E,248384,92.06,415.38,1,821,100000,'Центр города',5,0,32.85,184,'более 10 000',Элитный,7,'около 5 000'
19.93,8.1,472.86,E,248384,92.06,415.38,1,450,10000,'Центр города',1,0,14.07,441.73,'более 10 000',Элитный,7,'около 10 000'
5.4,3.38,184.4,E,53528,97.52,227.87,1,509.16,100000,'Фешенебельный район',8,1.12,25.54,475.93,'более 20 000',Элитный,4,'около 1 000'
10.97,4.88,222.61,E,106164,82.24,263.13,4.74,600,100000,'Центр города',2,0,19.04,433.81,'более 100 000',Высокий,4,'более 10 000'
10.97,4.88,222.61,E,106164,82.24,263.13,4.74,250,1000,'Центр города',1,0,12.55,246.25,'более 2 000',Высокий,4,'около 500'
14.21,4.02,165.31,E,154482,91.33,243.57,4.41,720,100000,'Центр города',2,0,37.56,344.68,'около 50 000',Элитный,8,'более 10 000'
