@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
47.15,5.7,477.81,E,4289,68.66,20208.02,12.24,35000,1000,'Центр города',1,1.39,16.54,367.16,'более 2 000','Очень высокий',3,'более 300'
47.15,5.7,477.81,E,4289,68.66,20208.02,12.24,47000,1000,'Фешенебельный район',1,3.94,17.15,569.23,'более 1 000',Элитный,3,'более 1 000'
8.47,6.81,251.68,E,3168,94.85,2650.08,1,13000,10000,'Центр города',2,1.41,14.55,616.2,'около 50 000',Нормальный,1,'более 100'
29.42,5.32,475.18,E,2600,96.5,17216.1,1,46137.89,10000,'Фешенебельный район',9,0,18.71,685.4,'более 10 000',Нормальный,1,'около 100'
15.52,4.53,210.95,E,3441,99.56,7171.12,1,65000,1000,'Фешенебельный район',1,8.3,24.13,696.47,'более 1 000','Очень высокий',2,'менее 50'
15.52,4.53,210.95,E,3441,99.56,7171.12,1,65000,10000,'Центр города',1,0,15.95,658.74,'около 50 000',Высокий,2,'менее 50'
23.07,6.21,324.96,E,5044,81.9,7977.16,4.96,40000,10000,'Центр города',1,4.02,16.27,522.81,'около 50 000','Очень высокий',2,'около 1 000'
23.07,6.21,324.96,E,5044,81.9,7977.16,4.96,24000,10000,'Центр города',1,1.17,10.26,349.91,'около 10 000',Элитный,2,'более 100'
26.2,5.22,274.68,E,19101,89.09,7894.12,5.36,35000,10000,'Фешенебельный район',1,1.43,17.45,551.89,'более 10 000',Элитный,3,'более 1 000'
26.2,5.22,274.68,E,19101,89.09,7894.12,5.36,24000,10000,'Центр города',2,1.41,16.07,422.42,'более 20 000',Высокий,3,'около 500'
10.55,5.93,296.99,E,1385,95.09,4840.91,1,21000,10000,'Центр города',1,0.14,10.47,441.79,'около 10 000','Очень высокий',1,'около 50'
17.91,8.19,228.82,E,7803,89.91,11395.66,1.32,46322.93,100000,'Центр города',9,1.72,6.64,667.05,'более 1 000 000','Очень низкий',2,'более 200'
17.91,8.19,228.82,E,7803,89.91,11395.66,1.32,42000,100000,'Центр города',1,0,9,327.22,'около 50 000',Элитный,2,'около 500'
19.93,8.1,472.86,E,12878,93.17,5838.35,1,27000,100000,'Фешенебельный район',1,0.95,16.51,434.78,'более 20 000',Элитный,2,'около 1 000'
19.93,8.1,472.86,E,12878,93.17,5838.35,1,14000,10000,'Центр города',1,2.21,10.26,304.11,'около 10 000',Элитный,2,'менее 50'
10.97,4.88,222.61,E,11159,94.58,4939.39,1,23500,100000,'Центр города',1,0.36,7.09,429.33,'более 100 000',Элитный,1,'около 500'
14.21,4.02,165.31,E,11803,90.49,5296.12,4.07,34500,100000,'Центр города',2,0.26,16.45,344.68,'около 50 000',Элитный,4,'более 100'
14.21,4.02,165.31,E,11803,90.49,5296.12,4.07,34000,100000,'Центр города',2,0.32,16.47,337.89,'около 50 000',Элитный,4,'более 100'
14.21,4.02,165.31,E,11803,90.49,5296.12,4.07,37000,100000,'Фешенебельный район',2,3.93,16.78,592.99,'более 100 000',Элитный,4,'около 500'
14.21,4.02,165.31,E,11803,90.49,5296.12,4.07,21500,100000,'Центр города',1,0.35,7.08,427.32,'более 100 000','Очень высокий',4,'более 100'
14.74,7.58,210.76,E,26701,92.72,9949.56,1,41846.45,100000,'Спальный район',9,2.91,18.71,591.1,'около 1 000 000','Очень низкий',4,'более 1 000'
14.74,7.58,210.76,E,26701,92.72,9949.56,1,20000,10000,'Центр города',1,0,16.06,393.49,'более 20 000',Элитный,4,'около 1 000'
14.74,7.58,210.76,E,26701,92.72,9949.56,1,19000,1000,'Центр города',2,1.06,9.75,172.67,'более 1 000','Очень высокий',4,'около 100'
12.11,4.69,208.93,E,13965,83.69,5528.88,1.21,30000,100000,'Фешенебельный район',1,0,18.86,688.41,'более 200 000',Элитный,4,'около 2 000'
12.11,4.69,208.93,E,13965,83.69,5528.88,1.21,39680.08,100000,'Центр города',9,2.91,18.71,641.71,'более 1 000 000','Очень низкий',4,'около 50'
12.11,4.69,208.93,E,13965,83.69,5528.88,1.21,39000,100000,'Центр города',1,4.05,17.93,417.23,'более 100 000',Элитный,4,'более 200'
14.13,6.16,220.65,E,17558,98.5,5674.75,1,36929.64,100000,'Центр города',9,2.91,18.71,644.09,'более 1 000 000','Очень низкий',2,'менее 50'
14.13,6.16,220.65,E,17558,98.5,5674.75,1,29999,100000,'Центр города',1,0,15.37,458.41,'более 100 000',Элитный,2,'более 200'
13.11,10.2,352.1,E,35262,98.18,6239.47,1,39000,100000,'Центр города',1,3.7,17.94,381.75,'более 100 000',Элитный,4,'более 300'
13.11,10.2,352.1,E,35262,98.18,6239.47,1,33000,100000,'Центр города',1,0.98,7.94,17.7,'около 5 000',Элитный,4,'менее 50'
13.11,10.2,352.1,E,35262,98.18,6239.47,1,11000,100000,'Центр города',4,0,11.44,99.47,'около 5 000',Элитный,4,'более 300'
