@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
8.37,4.76,225.45,E,26653,84.83,171.3,3.09,169,10000,'Центр города',2,0,12.28,281.48,'около 5 000',Элитный,2,'около 5 000'
8.37,4.76,225.45,E,26653,84.83,171.3,3.09,240.9,10000,'Фешенебельный район',9,0,7.42,359.67,'более 1 000',Высокий,2,'около 50'
17.09,4.53,219.95,E,46444,82.77,264.56,5.57,269,10000,'Центр города',2,0,12.28,258.46,'около 5 000',Элитный,1,'около 10 000'
28.12,5.08,274.94,E,237175,94.94,500.64,1,469,10000,'Центр города',2,0,12.28,173.66,'около 5 000',Элитный,1,'более 10 000'
22.71,6.37,412.47,E,34158,80.02,89.58,2.45,249,10000,'Центр города',2,0,12.28,324.55,'около 5 000',Элитный,1,'около 10 000'
29.08,7.15,319.09,E,489479,99.44,261.29,1,426.75,100000,'Центр города',9,0,7.42,409.26,'более 100 000','Очень низкий',2,'около 50'
29.08,7.15,319.09,E,489479,99.44,261.29,1,242,1000,'Центр города',1,0,4.87,286.77,'более 1 000','Очень высокий',2,'более 2 000'
44.42,11.15,209.47,E,469463,99.93,243.32,1,278,500,'Центр города',1,0,4.87,133,'более 200',Элитный,1,'около 500'
29.95,7.08,330.03,E,151638,99.97,579.29,1,857.95,10000,'Центр города',9,0,7.42,420.01,'более 20 000','Очень низкий',1,'около 50'
28.26,5.58,304.31,E,124573,91.33,218.43,1,180,100000,'Центр города',2,0,42.94,489.04,'около 500 000','Очень высокий',2,'около 10 000'
28.26,5.58,304.31,E,124573,91.33,218.43,1,146,10000,'Центр города',1,0,4.87,317.42,'около 5 000',Элитный,2,'около 1 000'
38.08,9.97,252.1,E,572972,84.77,170.21,7.17,575,100000,'Центр города',1,0,76.76,351.32,'более 100 000',Элитный,2,'более 100 000'
38.08,9.97,252.1,E,572972,84.77,170.21,7.17,200,100000,'Фешенебельный район',2,0.8,20.35,360.39,'более 10 000',Элитный,2,'более 10 000'
16.29,6.23,112.01,E,427225,98.74,124.68,1,121.16,100000,'Центр города',8,0,8.61,196.7,'около 50 000',Элитный,1,'около 5 000'
20.35,7.5,1434.5,E,134814,71.31,77.49,1.88,120,10000,'Центр города',1,5.87,76.39,441.64,'более 30 000','Очень высокий',1,'около 50 000'
24.83,7.32,1105.56,C,181047,0,65.42,3.1,120,10000,'Центр города',1,5.87,76.78,420.44,'около 50 000','Очень высокий',1,'более 100 000'
46.64,8.09,1234.62,E,543583,68.03,347.94,7.67,400,10000,'Центр города',1,5.87,40.89,352.39,'более 20 000',Элитный,2,'более 100 000'
46.64,8.09,1234.62,E,543583,68.03,347.94,7.67,70.89,100000,'Центр города',6,0,24.43,0,'около 5 000',Элитный,2,'около 10 000'
19.62,6.3,216.88,E,162957,92.64,252.96,1,249,10000,'Центр города',2,0,12.28,238.19,'около 5 000',Элитный,1,'более 10 000'
