@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
8.37,4.76,225.45,E,101,99.01,111398.06,1,250362.59,10000,'Фешенебельный район',9,0,12.88,359.67,'более 1 000',Высокий,1,'менее 50'
29.08,7.15,319.09,E,1202,89.1,206856.27,2.56,383613.23,100000,'Центр города',9,0,12.88,409.26,'более 100 000','Очень низкий',2,'менее 50'
29.08,7.15,319.09,E,1202,89.1,206856.27,2.56,392000,1000,'Центр города',1,0,5.97,123.02,'около 1 000',Элитный,2,'более 100'
29.95,7.08,330.03,E,2998,99.97,87521.58,1,168417.94,10000,'Центр города',9,0,12.88,420.01,'более 20 000','Очень низкий',1,'менее 50'
37.77,6.56,326.92,'',99,100,7000661.89,1,30000000,100000,'Фешенебельный район',1,0,34.06,587.07,'более 100 000',Элитный,0,'менее 50'
27.29,5.12,302.69,E,1209,58.64,20800.09,23.54,120000,100000,'Фешенебельный район',2,0,56.74,676.15,'более 200 000','Очень высокий',1,'около 500'
24.55,5.83,275.51,D,1284,33.8,69622.16,25.66,95000,10000,'Фешенебельный район',1,0,56.74,676.95,'более 20 000',Элитный,1,'около 1 000'
48.14,8,863.38,'',1387,100,162503.29,1,162500,10000,'Спальный район',3,0,12.88,657.12,'более 100 000','Очень низкий',0,'около 100'
38.7,7.17,361,'',4378,100,295469.83,1,299999,100000,'Центр города',1,0,12.5,6.78,'около 5 000',Элитный,0,'около 200'
35.21,8.78,1194.01,E,600,92.17,123267.14,17.84,32534.83,100000,'Центр города',7,0,12.88,626.27,'более 1 000 000','Очень низкий',1,'менее 50'
3.14,2.44,35.64,D,84,40.48,77458.72,5.48,100000,100000,'Центр города',7,0,12.88,225.87,'более 20 000',Элитный,1,'около 50'
16.29,6.23,112.01,E,446,99.55,541797.47,1,397435.67,100000,'Центр города',8,0,12.88,196.7,'около 50 000',Элитный,2,'менее 50'
16.29,6.23,112.01,E,446,99.55,541797.47,1,1100100,10000,'Центр города',1,0,5.94,150.39,'около 5 000',Элитный,2,'менее 50'
69.95,9.21,1361.59,A,2863,0,273903.6,1.57,1300000,10000,'Центр города',1,0,39.99,357.65,'более 20 000',Элитный,1,'около 1 000'
46.64,8.09,1234.62,E,2618,98.09,353573.13,1,110000,100000,'Центр города',6,0,12.88,0,'около 5 000',Элитный,1,'около 50'
1.36,5.86,88.98,B,1000,0,627,4.7,1850,10000,'Центр города',1,1.33,29.64,456.77,'более 20 000','Очень высокий',1,'около 1 000'
11.83,5.51,185.05,E,783,87.23,6627.34,23.69,69000,100000,'Центр города',2,0,56.55,515.81,'около 500 000','Очень высокий',1,'около 100'
23.22,7.7,1128.13,A,77,0,1122042.58,8.13,100000,100000,'Центр города',7,0,9.89,0,'более 2 000',Элитный,1,'около 100'
9.05,2.5,86.54,E,99,97.98,258576.55,1,645907.4,10000,'Фешенебельный район',9,0,12.88,443.22,'более 2 000','Очень низкий',1,'менее 50'
13.95,5.09,154.49,E,32853,68.85,23721.38,10.53,32500,100000,'Центр города',3,0,63.31,315.37,'более 100 000','Очень высокий',1,'более 10 000'
27.92,7.08,380,C,13186,0,60665.99,31.97,35000,100000,'Фешенебельный район',2,0,56.59,506.85,'более 100 000',Элитный,1,'более 10 000'
7.68,4.86,110.99,E,32191,100,18143.39,1,45885.79,10000,'Фешенебельный район',9,0,12.88,272.42,'более 1 000',Низкий,1,'менее 50'
8.88,8.11,69.07,E,3775,99.87,76423.64,1,300000,1000,'Центр города',1,0.18,8.1,51.26,'более 1 000',Элитный,1,'около 500'
2.43,4.05,64.11,E,95,98.95,84740.79,1,211854.99,10000,'Фешенебельный район',9,0,12.88,416.84,'более 2 000','Очень низкий',1,'менее 50'
22.73,7.13,176.75,E,8529,99.11,46277.9,1,21000,100000,'Центр города',8,0,12.88,144.78,'более 10 000',Элитный,2,'около 50'
22.73,7.13,176.75,E,8529,99.11,46277.9,1,15290.73,100000,'Фешенебельный район',9,0,11.27,143.95,'более 1 000',Элитный,2,'менее 50'
14.72,5.37,95.38,E,18527,97.84,3607.02,1,6000,10000,'Фешенебельный район',1,0,56.74,645.58,'более 20 000',Элитный,1,'около 500'
24.97,12.29,210.79,E,36496,69.26,57100.16,1.08,135000,10000,'Центр города',2,2.95,21.22,384.66,'более 20 000','Очень высокий',1,'более 10 000'
63.5,9.11,1612.96,E,8439,99.96,206665.47,1,11000,100000,'Центр города',8,0,12.88,221.56,'около 50 000',Элитный,2,'менее 50'
