@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
22.71,6.37,412.47,E,342,91.23,25478.51,1,24999,10000,'Центр города',2,0,12.55,324.52,'около 5 000',Элитный,1,'менее 50'
29.08,7.15,319.09,E,3134,98.44,28323.97,1,26100,1000,'Центр города',1,0,5.75,197.41,'более 1 000',Элитный,1,'около 50'
44.42,11.15,209.47,E,2946,93.21,20426.56,1,35000,10000,'Фешенебельный район',1,0,59.59,640.98,'более 10 000',Элитный,1,'около 200'
5.65,3.48,73.25,E,1195,59.83,1650.94,3.69,6000,10000,'Центр города',3,0,54.49,180.67,'около 5 000',Элитный,2,'более 100'
5.65,3.48,73.25,E,1195,59.83,1650.94,3.69,5500,10000,'Центр города',3,0,54.17,114.82,'более 1 000',Элитный,2,'более 200'
28.26,5.58,304.31,'',1958,100,23265.69,1,22700,1000,'Центр города',1,0,5.75,151.04,'около 500',Элитный,0,'менее 50'
24.55,5.83,275.51,E,1779,97.19,21961.15,1,35000,10000,'Фешенебельный район',1,0,59.59,676.95,'более 10 000',Элитный,1,'около 50'
17.64,10.94,318.44,E,1443,93.07,11387.75,1,28000,10000,'Фешенебельный район',1,0,59.59,676.12,'более 20 000',Элитный,1,'около 100'
4.13,6.45,145.52,AA,792,0,6940.2,2.25,11000,10000,'Центр города',1,0,54.24,458.67,'около 50 000','Очень высокий',1,'около 1 000'
1.22,6.23,78.89,A,240,0,3556.41,2.12,5550,10000,'Центр города',1,0,54.24,524.49,'около 50 000','Очень высокий',1,'более 200'
28.83,6.73,1024.34,E,1690,54.44,12239.07,4.3,18000,10000,'Центр города',3,0,54.31,168.17,'около 5 000',Элитный,1,'около 500'
1.36,5.86,88.98,B,620,0,2535.33,2.51,4600,10000,'Центр города',1,0,54.24,454.33,'около 50 000','Очень высокий',1,'около 500'
31.86,5.51,295.77,E,3871,97.42,10173.78,1,17000,10000,'Центр города',2,0,59.59,359.08,'более 10 000','Очень высокий',1,'около 100'
13.95,5.09,154.49,E,48820,88.72,8176.16,2.16,10000,100000,'Центр города',1,0,57.2,294.25,'более 100 000',Элитный,1,'около 5 000'
37.7,8,1319.5,E,1712,88.38,27477.07,5.88,66784.99,100000,'Центр города',6,0,54.06,641.53,'более 1 000 000','Очень низкий',1,'более 100'
27.92,7.08,380,E,26491,93.58,26350.23,1,30000,100000,'Центр города',2,0,59.59,490.64,'более 1 000 000',Нормальный,1,'более 1 000'
8.88,8.11,69.07,E,18197,93.41,4387.9,1,5200,10000,'Фешенебельный район',1,0,53.91,329.75,'около 5 000',Элитный,1,'более 1 000'
6.22,4.49,84.63,E,824,74.03,1494.61,2.88,6000,10000,'Центр города',2,0,54.48,213.01,'около 5 000','Очень высокий',1,'более 100'
10.12,13.91,103.35,E,528,90.53,7002.95,1,15000,100000,'Фешенебельный район',3,0,59.59,651.16,'более 200 000','Очень высокий',1,'около 50'
45.3,9.35,1665.33,E,1313,53.08,12124.65,6.63,20000,100000,'Центр города',5,0,54.18,258.05,'около 50 000',Элитный,1,'около 500'
4.5,6.53,263.09,A,527,0,3079.87,2.09,4750,10000,'Центр города',1,0,54.24,563.68,'около 50 000','Очень высокий',1,'около 500'
23.31,6.15,347.78,E,6952,99.57,19851.97,1,19999,10000,'Центр города',2,0,12.55,166.38,'около 5 000',Элитный,1,'менее 50'
18.48,4.5,248.67,E,502,94.02,16600.09,1,17999,10000,'Центр города',2,0,12.55,304.12,'около 5 000',Элитный,1,'менее 50'
24.24,6.48,391.83,E,542,94.46,26018.42,1,25999,10000,'Центр города',2,0,12.55,299.45,'около 5 000','Очень высокий',1,'менее 50'
24.08,6.78,298.11,E,2261,98.67,22479.21,1,21999,10000,'Центр города',2,0,12.55,226.42,'около 5 000','Очень высокий',1,'менее 50'
27.52,5.85,370.41,E,1309,97.71,20716.85,1,20999,10000,'Центр города',2,0,12.55,261.86,'около 5 000',Элитный,1,'менее 50'
24.91,12.3,254.22,E,763,96.07,38398.65,1,36999,10000,'Центр города',2,0,12.55,256.55,'около 5 000',Элитный,1,'менее 50'
