@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
8.37,4.76,225.45,E,10594,99.72,361,1,294.76,10000,'Фешенебельный район',9,0,1,359.67,'более 1 000',Высокий,1,'менее 50'
29.08,7.15,319.09,E,153512,99.4,658.53,1,526.82,100000,'Центр города',9,0,1,409.26,'более 100 000','Очень низкий',2,'менее 50'
29.08,7.15,319.09,E,153512,99.4,658.53,1,821,1000,'Центр города',1,0.47,5.6,281.9,'более 2 000','Очень высокий',2,'около 1 000'
29.95,7.08,330.03,E,137069,100,607.31,1,485.85,10000,'Центр города',9,0,1,420.01,'более 20 000','Очень низкий',1,'менее 50'
20.35,7.5,1434.5,E,67876,84.25,260.6,1.31,750,10000,'Центр города',1,5.87,51.32,441.64,'более 20 000','Очень высокий',1,'более 10 000'
69.95,9.21,1361.59,D,184820,43.4,1565.32,1.48,2200,10000,'Центр города',1,0,48.53,344.19,'более 20 000',Элитный,1,'более 100 000'
46.64,8.09,1234.62,E,257457,80.79,507.26,2.17,1250,10000,'Центр города',1,5.87,51.33,352.39,'более 20 000',Элитный,1,'около 50 000'
9.05,2.5,86.54,E,38428,99.79,283.39,1,401.44,10000,'Фешенебельный район',9,0,5.62,443.22,'более 2 000','Очень низкий',1,'около 100'
37.7,8,1319.5,E,56925,79.26,360.06,1.86,500,10000,'Центр города',1,5.87,51.24,461.98,'около 50 000','Очень высокий',1,'около 50 000'
7.68,4.86,110.99,E,931101,100,257,1,203.05,10000,'Фешенебельный район',9,0,1,272.42,'более 1 000',Низкий,1,'менее 50'
2.43,4.05,64.11,E,29221,99.98,133.44,1,106.75,10000,'Фешенебельный район',9,0,1,416.84,'более 2 000','Очень низкий',1,'менее 50'
45.3,9.35,1665.33,E,44945,99.87,1465.99,1,1718.92,100000,'Центр города',9,0,5.62,466.25,'более 100 000',Нормальный,1,'около 50'
24.97,12.29,210.79,E,1062394,100,521.59,1,480,100000,'Спальный район',5,0,51.43,541.11,'около 500 000',Низкий,1,'менее 50'
63.5,9.11,1612.96,E,571414,100,1764.92,1,1411.94,100000,'Спальный район',9,0,1,232.26,'около 50 000',Элитный,1,'менее 50'
8.08,5.55,98.9,E,11819,99.92,876.23,1,719.41,10000,'Фешенебельный район',9,0,1,452.08,'около 5 000',Высокий,1,'менее 50'
23.31,6.15,347.78,E,385266,99.98,421.72,1,541.01,10000,'Центр города',9,0,5.62,382.05,'более 10 000',Низкий,1,'около 50'
47.65,6.71,385.88,E,56914,99.99,847.7,1,692.14,1000,'Фешенебельный район',9,0,1,294.84,'более 300','Очень высокий',1,'менее 50'
