@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
19.51,7.43,280.72,E,80918,99.2,708.04,1,2450,10000,'Центр города',2,3.97,23.57,542.89,'более 20 000',Высокий,1,'около 500'
17.47,6.07,325.43,E,142258,99.86,457.74,1,2000,10000,'Центр города',1,0,10.54,469.41,'более 20 000',Элитный,1,'около 200'
31.87,11.17,387.83,E,578073,100,1107.82,1,7000,10000,'Центр города',1,0.59,13.39,523.81,'около 100 000',Нормальный,1,'менее 50'
4.5,2.56,61.78,E,32398,99.69,351.79,1,900,100000,'Центр города',2,1.59,24.67,483.51,'более 200 000','Очень высокий',1,'около 100'
13.8,3.48,170.38,E,818413,99.11,355.09,1,1500,100000,'Центр города',1,1.59,24.67,502.57,'около 500 000',Элитный,1,'около 5 000'
16.51,5.75,146.16,E,2707515,99.97,440.16,1,2350,100000,'Центр города',8,2.75,23.57,292.91,'около 100 000',Нормальный,1,'около 1 000'
36.55,8.17,486.2,E,3410365,99.94,1178.37,1,3500,100000,'Фешенебельный район',2,3.82,23.57,335.09,'более 10 000',Элитный,1,'около 2 000'
17.05,9.25,331.7,E,877857,99.98,433.37,1,1800,10000,'Центр города',1,0,10.54,271.34,'около 10 000',Элитный,1,'около 200'
179.08,8.91,2646,D,906,37.64,3029.22,5.57,8000,10000,'Центр города',1,0,9.14,708.73,'более 20 000',Элитный,1,'около 500'
24.5,8.82,380.2,E,2036712,99.99,602.74,1,3500,100000,'Центр города',4,0,17.14,341.45,'более 100 000','Очень высокий',1,'около 50'
9.63,4.62,107,E,58962,99.32,353.88,1,535,100000,'Центр города',3,3.44,23.57,336.39,'около 50 000',Элитный,1,'около 500'
39.69,7.83,1612.96,E,1474676,99.82,1558.1,1,7200,100000,'Центр города',1,3.96,23.75,515.34,'около 500 000','Очень высокий',3,'более 1 000'
39.69,7.83,1612.96,E,1474676,99.82,1558.1,1,4000,100000,'Центр города',1,2.91,24.69,424.11,'более 200 000',Элитный,3,'около 1 000'
39.69,7.83,1612.96,E,1474676,99.82,1558.1,1,1475,10000,'Центр города',8,0,1,105.6,'около 5 000','Очень высокий',3,'более 100'
11.77,4.5,257.43,E,23910,99.58,418.85,1,764.76,100000,'Центр города',3,0,11.14,582.15,'около 500 000',Нормальный,1,'около 100'
17.41,6,348.16,E,57017,99.47,651.12,1,2800,100000,'Центр города',2,3.64,24.69,521.63,'более 200 000',Элитный,1,'около 300'
