@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
20.39,5.51,274,E,22412,90.85,2095.96,1,4000,10000,'Центр города',1,0,19.11,2000,495.6,20000,Элитный,2
20.39,5.51,274,E,22412,90.85,2095.96,1,2500,1000,'Центр города',4,0,4.23,50,169.79,1000,Высокий,2
19.02,4.74,243.68,E,8987,76.6,1065.25,3.04,1305.75,10000,'Центр города',4,0,8.77,1000,406.71,10000,'Очень высокий',2
19.02,4.74,243.68,E,8987,76.6,1065.25,3.04,1250,10000,'Центр города',2,0,11.94,500,390.6,10000,Элитный,2
13.47,4.2,180.05,E,9363,89.32,978.46,2.13,1050,10000,'Центр города',1,0,11.94,1000,390.91,10000,Элитный,1
8.42,8.02,272.66,E,34191,99.83,602.26,1,540,10000,'Центр города',2,0,1.63,50,194.44,2000,Высокий,1
10.99,3.9,197.94,E,14707,99.49,920.35,1,2757.7,1000,'Центр города',1,0,9.45,100,273.89,1000,Элитный,1
19.51,7.43,280.72,E,38291,99.99,1851.28,1,2685,10000,'Центр города',1,0,7.61,500,152.41,1000,Элитный,1
17.47,6.07,325.43,E,29314,79.57,770.94,2.76,2100,100000,'Фешенебельный район',5,0,12.57,10000,520.76,50000,Элитный,2
17.47,6.07,325.43,E,29314,79.57,770.94,2.76,2258,100000,'Центр города',4,0,9.59,1000,331.63,50000,Элитный,2
24.09,6.5,389.39,E,24869,69.84,2114.78,2.16,4000,100000,'Фешенебельный район',5,0,10.38,10000,538.92,50000,Элитный,1
15.39,6.09,261.73,E,42490,96.47,1258.17,1,1405.16,10000,'Центр города',3,0,10.54,100,292.25,10000,Элитный,1
15.39,6.09,261.73,E,42490,96.47,1258.17,1,2700,100000,'Центр города',1,0,12.62,1000,433.13,100000,Элитный,1
31.87,11.17,387.83,E,92376,74.18,1550.29,5.33,400.04,10000,'Фешенебельный район',2,0,18.88,10000,569.24,10000,Элитный,6
31.87,11.17,387.83,E,92376,74.18,1550.29,5.33,2215.44,10000,'Центр города',5,0,9.15,1000,237.64,5000,'Очень высокий',6
31.87,11.17,387.83,E,92376,74.18,1550.29,5.33,1900,10000,'Центр города',2,0,12.03,5000,259.96,10000,Элитный,6
31.87,11.17,387.83,E,92376,74.18,1550.29,5.33,3250.29,10000,'Центр города',1,0,9.49,500,147.09,5000,Элитный,6
