@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
36.55,8.17,486.2,E,168271,98.45,18867.13,1,122375.33,100000,'Центр города',2,0,37.76,50,436.02,500000,'Очень высокий',3
36.55,8.17,486.2,E,168271,98.45,18867.13,1,41000,100000,'Фешенебельный район',2,2.93,23.39,2000,335.09,10000,Элитный,3
36.55,8.17,486.2,E,168271,98.45,18867.13,1,49000,10000,'Центр города',2,0,11.19,50,56.52,3000,Высокий,3
25.48,6.45,388.5,E,17521,99.97,11671.91,1,35000,100000,'Центр города',5,0,10.25,50,359.69,100000,Низкий,1
28.53,7.16,361,E,20807,99.99,11914.09,1,37000,1000,'Центр города',3,0,9.03,50,0,500,'Очень высокий',1
30.96,7.76,507.15,E,97835,94.47,18130.06,1,53000,100000,'Центр города',3,2.18,26.09,5000,497.59,500000,Нормальный,3
30.96,7.76,507.15,E,97835,94.47,18130.06,1,45000,100000,'Центр города',5,3.25,18.65,100,380.27,100000,Высокий,3
30.96,7.76,507.15,E,97835,94.47,18130.06,1,40000,100000,'Центр города',5,0,10.25,50,260.38,50000,Элитный,3
13.43,5.7,421.66,E,2375,98.82,8309.53,1,33333,10000,'Центр города',1,4.17,11.63,50,572.64,30000,'Очень высокий',1
34.7,8.44,1295.06,E,5975,93.31,20314.94,1,40000,100000,'Центр города',2,4.09,20.76,500,658.37,1000000,Низкий,1
