@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
20.39,5.51,274,E,351082,99.99,387.3,1,450,1000,'Спальный район',4,0,10.01,100,46.83,200,Элитный,1
12.5,5.84,266.25,E,100626,99.01,238.11,1,550.05,10000,'Центр города',2,0,10.01,1000,354.68,5000,Высокий,1
19.02,4.74,243.68,E,155329,99.8,352.07,1,365,500,'Фешенебельный район',2,0,9.8,50,55.81,50,Элитный,2
19.02,4.74,243.68,E,155329,99.8,352.07,1,1000.05,1000,'Центр города',1,0,9.93,300,138.04,500,'Очень высокий',2
13.47,4.2,180.05,E,139148,99.99,237.12,1,350,500,'Фешенебельный район',1,0,10.01,50,185.92,50,'Очень высокий',1
19.51,7.43,280.72,E,347881,99.7,397.77,1,1750,10000,'Центр города',1,0,9.33,50,545.82,50000,Высокий,3
19.51,7.43,280.72,E,347881,99.7,397.77,1,400,10000,'Центр города',4,0,10.01,1000,299.25,5000,'Очень высокий',3
19.51,7.43,280.72,E,347881,99.7,397.77,1,350,10000,'Центр города',5,0,10.01,1000,345.31,5000,'Очень высокий',3
17.47,6.07,325.43,E,454288,100,352.27,1,500,10000,'Спальный район',2,0,2.69,50,395.59,10000,Элитный,1
17.47,6.07,325.43,E,454288,100,352.27,1,457.06,500,'Центр города',1,0,2.69,50,154.95,300,Элитный,1
24.09,6.5,389.39,E,421080,99.53,473.78,1,900,10000,'Центр города',1,0,17.46,2000,490.8,10000,Элитный,1
15.39,6.09,261.73,E,608505,99.93,306.5,1,900,100000,'Спальный район',1,0,17.46,500,675.36,1000000,Высокий,2
15.39,6.09,261.73,E,608505,99.93,306.5,1,589.89,1000,'Центр города',1,0,10.01,500,79.41,500,Элитный,2
15.39,6.09,261.73,E,608505,99.93,306.5,1,400,1000,'Центр города',2,0,10.01,1000,4.69,100,Элитный,2
16.85,8.11,333.49,E,883758,99.7,329.84,1,513.25,1000,'Центр города',1,0,10.01,200,55.75,500,Элитный,2
31.87,11.17,387.83,E,2737947,99.8,604.12,1,1400,10000,'Центр города',2,0,14.35,5000,254.39,5000,Элитный,3
31.87,11.17,387.83,E,2737947,99.8,604.12,1,2000,10000,'Центр города',8,0,12.7,100,349.22,10000,Низкий,3
31.87,11.17,387.83,E,2737947,99.8,604.12,1,765,500,'Фешенебельный район',1,0,9.87,200,5,50,Элитный,3
7.73,3.8,224.15,E,48900,98.47,216.38,1,320,10000,'Центр города',2,1.68,10.64,500,372.41,5000,'Очень высокий',2
7.73,3.8,224.15,E,48900,98.47,216.38,1,70,1000,'Центр города',1,0,2.67,200,70.41,500,Элитный,2
7.32,3.79,237.5,E,56333,99.11,217.66,1,320,10000,'Центр города',2,1.68,10.64,500,364.83,5000,'Очень высокий',1
14.89,4.1,242.55,'',123080,100,223.14,1,660,100000,'Центр города',2,0.71,13.07,2000,525.6,100000,'Очень высокий',0
23.07,5.5,410.32,D,133722,17.72,275.13,2.13,122,10000,'Центр города',1,2.42,10.13,100000,649.34,50000,'Очень высокий',3
23.07,5.5,410.32,D,133722,17.72,275.13,2.13,510.91,500,'Центр города',1,0,2.91,50,224.08,100,Элитный,3
23.07,5.5,410.32,D,133722,17.72,275.13,2.13,700,1000,'Спальный район',2,0,9.43,50,68.29,200,'Очень высокий',3
23.33,5.17,324.21,E,949671,98.8,462.48,1,1849.5,100000,'Центр города',2,0,23.25,5000,504.02,500000,'Очень высокий',6
23.33,5.17,324.21,E,949671,98.8,462.48,1,665,500,'Спальный район',1,0,7.44,5000,41.75,100,Элитный,6
23.33,5.17,324.21,E,949671,98.8,462.48,1,450,500,'Центр города',4,0,10.01,500,41.67,100,Высокий,6
23.33,5.17,324.21,E,949671,98.8,462.48,1,915,1000,'Центр города',1,0,7.89,1000,33.47,500,'Очень высокий',6
23.33,5.17,324.21,E,949671,98.8,462.48,1,456,10000,'Центр города',3,0,10.01,500,46.05,1000,Высокий,6
23.33,5.17,324.21,E,949671,98.8,462.48,1,600,100,Пригород,1,0,10.01,50,0,50,'Очень высокий',6
26.65,8.52,456.65,E,1688300,99.38,550.32,1,2277.8,100000,'Центр города',2,0,23.25,10000,522.77,500000,Высокий,4
26.65,8.52,456.65,E,1688300,99.38,550.32,1,700,1000,'Спальный район',2,0.93,13.07,5000,186.37,1000,'Очень высокий',4
26.65,8.52,456.65,E,1688300,99.38,550.32,1,665.5,500,'Спальный район',1,0,4.26,1000,37.7,100,Элитный,4
26.65,8.52,456.65,E,1688300,99.38,550.32,1,489.99,10000,'Центр города',4,0,9.9,1000,140.39,2000,Элитный,4
33.11,6.85,380.03,E,532248,93.27,599.96,1,800,10000,'Центр города',1,0,11.54,30000,489.94,20000,Элитный,6
33.11,6.85,380.03,E,532248,93.27,599.96,1,1100,10000,'Центр города',2,0,11.54,3000,293.69,5000,Элитный,6
33.11,6.85,380.03,E,532248,93.27,599.96,1,900,1000,'Центр города',1,0,5.73,2000,21.78,500,'Очень высокий',6
33.11,6.85,380.03,E,532248,93.27,599.96,1,650,1000,Пригород,7,0,10.01,300,63.87,100,'Очень высокий',6
21.94,6.7,374.03,E,864718,99.94,448.71,1,542.5,500,'Спальный район',1,0,7.57,10000,35.34,100,Элитный,4
21.94,6.7,374.03,E,864718,99.94,448.71,1,700,500,Пригород,1,0,10,200,0.73,50,Элитный,4
24.73,4.68,308.59,E,512160,99.69,451.59,1,600,10000,'Центр города',1,0,8.61,1000,223.27,5000,'Очень высокий',3
24.73,4.68,308.59,E,512160,99.69,451.59,1,430,500,'Центр города',2,0,10.01,500,67.25,100,'Очень высокий',3
24.73,4.68,308.59,E,512160,99.69,451.59,1,500,500,Пригород,1,0,10.01,100,1,50,Элитный,3
24.81,4.79,375.45,E,499311,75.69,291.28,1.32,820,100000,'Центр города',1,0,11.54,30000,508.54,200000,Высокий,1
25.77,5.9,383.71,E,553466,99.07,409.41,1,900,10000,'Фешенебельный район',8,0,11.54,5000,548.94,5000,'Очень высокий',3
25.77,5.9,383.71,E,553466,99.07,409.41,1,620.62,10000,'Центр города',1,0,11.54,1000,623.25,50000,Высокий,3
26.38,5.08,323.88,E,286951,82.51,451.29,1,1600,100000,'Центр города',3,0,10,500,513.93,200000,'Очень высокий',3
26.38,5.08,323.88,E,286951,82.51,451.29,1,800,500,Пригород,1,0,9.96,100,2.14,50,Элитный,3
24.49,5.3,327.63,E,473993,99.54,465.35,1,450.91,10000,'Центр города',1,0,10.01,1000,490.04,20000,Элитный,3
24.49,5.3,327.63,E,473993,99.54,465.35,1,550,500,Пригород,1,0,10.01,100,1.04,50,'Очень высокий',3
24.49,5.3,327.63,E,473993,99.54,465.35,1,753.29,500,Окраина,3,0,8.54,500,33.56,100,Высокий,3
27.52,5.73,330.2,E,435890,99.68,462.3,1,450,10000,'Центр города',6,0,10.01,1000,467.53,20000,Низкий,2
27.52,5.73,330.2,E,435890,99.68,462.3,1,648.2,100000,'Центр города',7,0,8.61,1000,424.25,100000,'Очень низкий',2
27.52,5.73,330.2,E,435890,99.68,462.3,1,840,10000,'Центр города',3,0,7.3,1000,46.8,1000,'Очень высокий',2
22.49,8.02,329.18,E,835979,96.51,440.87,1,1000,100000,'Центр города',1,0,11.5,50000,494.38,500000,Элитный,5
22.49,8.02,329.18,E,835979,96.51,440.87,1,580,10000,'Центр города',2,1.24,13.07,1000,282.58,5000,Элитный,5
22.49,8.02,329.18,E,835979,96.51,440.87,1,600,10000,'Центр города',1,0,10.01,1000,218.98,5000,'Очень высокий',5
22.49,8.02,329.18,E,835979,96.51,440.87,1,612.09,500,'Центр города',3,0,11.55,1000,53.06,100,'Очень высокий',5
22.49,8.02,329.18,E,835979,96.51,440.87,1,629.99,500,'Центр города',2,0,10.01,1000,182.34,500,Низкий,5
15.89,8.62,439.9,E,825564,97.34,289.27,1,320,10000,'Центр города',2,1.24,13.07,20000,192.59,5000,Элитный,1
25.62,7.03,1073.98,E,668716,99.96,353.38,1,500,1000,'Спальный район',1,0,10.01,200,0,200,Элитный,1
13.8,3.48,170.38,E,2729673,99.96,256.05,1,184.55,100000,'Спальный район',2,0,10.01,1000,348.83,50000,Элитный,2
5.25,6.14,342,E,116096,99.98,140.24,1,420,10000,'Центр города',2,0,9.19,1000,315.99,10000,'Очень высокий',1
10.59,6.11,313.38,E,267518,73.83,232.28,1.27,300,10000,'Центр города',1,1.24,13.07,50000,330.64,10000,Элитный,1
12.42,6,317.66,E,231933,91.38,291.05,1,300,10000,'Центр города',3,1.24,13.07,20000,160.41,2000,Элитный,1
16.51,6.23,333.09,E,519044,99.3,289.48,1,400,10000,'Центр города',5,0,8.37,1000,99.43,1000,'Очень высокий',3
16.51,6.23,333.09,E,519044,99.3,289.48,1,500,500,'Центр города',2,0,10.01,500,0,100,Элитный,3
