@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
20.39,5.51,274,E,48397,87.22,356.43,2.43,1603.41,100000,'Фешенебельный район',2,0,27.94,5000,560.29,50000,Элитный,1
19.02,4.74,243.68,E,17988,89.15,383.85,1.18,1090,10000,'Центр города',4,1.84,13.77,1000,406.71,10000,'Очень высокий',2
19.02,4.74,243.68,E,17988,89.15,383.85,1.18,800,10000,'Центр города',3,0,7.55,100,406.42,10000,'Очень высокий',2
13.47,4.2,180.05,E,18948,99.83,513.56,1,2000,10000,'Центр города',2,3.05,11.79,50,411.2,10000,Элитный,1
8.42,8.02,272.66,E,36673,98.51,532.95,1,2000,10000,'Центр города',2,3.05,11.79,50,365.57,5000,Элитный,2
8.42,8.02,272.66,E,36673,98.51,532.95,1,350,10000,'Центр города',5,3.06,11.33,500,327.36,5000,Нормальный,2
10.99,3.9,197.94,E,22055,91.62,424.08,2.06,700,10000,'Центр города',4,0,7.09,1000,528.15,20000,'Очень низкий',1
19.51,7.43,280.72,E,41497,89.89,456.4,1.23,1015,10000,'Центр города',7,1.84,13.05,5000,345.78,5000,'Очень высокий',2
19.51,7.43,280.72,E,41497,89.89,456.4,1.23,450,10000,'Центр города',4,0,2.46,1000,299.25,5000,'Очень высокий',2
17.47,6.07,325.43,E,57222,83.17,355.07,3.22,1417.76,100000,'Фешенебельный район',1,0,27.96,10000,560.29,100000,Элитный,4
17.47,6.07,325.43,E,57222,83.17,355.07,3.22,1090,100000,'Центр города',4,0.84,13.78,1000,331.63,50000,Элитный,4
24.09,6.5,389.39,E,46769,83.12,389.3,3.76,1451.67,100000,'Фешенебельный район',2,0,27.97,5000,594.05,50000,Элитный,2
24.09,6.5,389.39,E,46769,83.12,389.3,3.76,1099.95,100000,'Центр города',4,0.84,13.98,2000,345.6,50000,Элитный,2
16.85,8.11,333.49,E,119311,90.97,576.8,1,1000,100000,'Фешенебельный район',1,0,13.4,10000,357.48,10000,Элитный,1
31.87,11.17,387.83,E,251522,89.24,548.88,5.52,1454.9,10000,'Фешенебельный район',1,0,27.98,20000,595.43,10000,Элитный,5
31.87,11.17,387.83,E,251522,89.24,548.88,5.52,1145,10000,'Центр города',5,1.84,13.83,5000,237.64,5000,'Очень высокий',5
31.87,11.17,387.83,E,251522,89.24,548.88,5.52,900,10000,'Центр города',3,0,7.44,200,266.12,10000,Элитный,5
31.87,11.17,387.83,E,251522,89.24,548.88,5.52,2000,10000,'Центр города',2,3.05,12.03,50,240.92,10000,Элитный,5
31.87,11.17,387.83,E,251522,89.24,548.88,5.52,1600,10000,'Центр города',8,0,10.18,50,349.22,10000,Низкий,5
7.73,3.8,224.15,E,8165,97.95,398.23,1,500,500,'Центр города',1,0,8.13,100,99.95,100,'Очень высокий',3
7.32,3.79,237.5,E,8710,99.15,431.13,1,390,10000,'Центр города',8,0,1,200,188.26,1000,'Очень высокий',1
14.89,4.1,242.55,E,13357,99.92,602.49,1,2000,10000,'Центр города',2,3.05,11.72,50,423.89,10000,'Очень высокий',1
11.13,7.83,428.9,E,123097,97.81,250.55,1,490,10000,'Центр города',1,0,17.72,2000,249.24,5000,Элитный,1
23.07,5.5,410.32,E,14885,94.22,1561.4,1,1500,1000,'Центр города',1,0,12.64,500,565.78,5000,Высокий,3
23.07,5.5,410.32,E,14885,94.22,1561.4,1,1499,500,'Центр города',1,0,12.28,500,130.91,100,Элитный,3
23.07,5.5,410.32,E,14885,94.22,1561.4,1,2000,1000,'Спальный район',2,0,8.49,200,68.29,200,'Очень высокий',3
23.33,5.17,324.21,E,95900,88.33,521.05,4.41,1809.45,100000,'Фешенебельный район',2,0,27.98,10000,602.13,100000,Элитный,4
23.33,5.17,324.21,E,95900,88.33,521.05,4.41,1700,100000,'Центр города',2,1.54,11.14,50,172.66,10000,Элитный,4
23.33,5.17,324.21,E,95900,88.33,521.05,4.41,900,500,'Центр города',1,0,12.82,500,255.86,500,'Очень высокий',4
23.33,5.17,324.21,E,95900,88.33,521.05,4.41,2000,100000,'Спальный район',1,1.13,18.89,50,153.82,10000,Элитный,4
26.65,8.52,456.65,E,168830,88.32,732.85,6.63,2431.67,100000,'Фешенебельный район',2,0,27.97,20000,570.14,100000,Элитный,4
26.65,8.52,456.65,E,168830,88.32,732.85,6.63,900,1000,'Центр города',1,0,12.76,2000,210.75,1000,Элитный,4
26.65,8.52,456.65,E,168830,88.32,732.85,6.63,1000,10000,'Центр города',1,0.15,5.89,100,401.2,20000,Элитный,4
26.65,8.52,456.65,E,168830,88.32,732.85,6.63,608.93,1000,'Центр города',1,0,3.24,50,47.05,500,Элитный,4
