@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
20.39,5.51,274,E,19360,73.62,1111.85,8.6,6474.22,100000,'Фешенебельный район',2,0,27.64,3000,560.29,50000,Элитный,3
20.39,5.51,274,E,19360,73.62,1111.85,8.6,1000,1000,'Центр города',1,0,2.97,50,344.36,1000,'Очень высокий',3
20.39,5.51,274,E,19360,73.62,1111.85,8.6,700,10000,'Центр города',1,1.96,6.55,1000,147.43,2000,Элитный,3
19.02,4.74,243.68,E,7648,91.87,1114.64,6.82,2590,10000,'Центр города',4,0,12.77,500,406.71,10000,'Очень высокий',1
19.02,4.74,243.68,E,7648,91.87,1114.64,6.82,1250,10000,'Центр города',3,0,5.31,50,406.42,10000,'Очень высокий',1
19.02,4.74,243.68,E,7648,91.87,1114.64,6.82,1600,10000,'Центр города',2,3.05,11.12,50,410.97,10000,Элитный,1
14.84,6.04,323.95,E,8017,75.05,802.15,6.28,1281.52,10000,'Центр города',1,0,10.91,1000,264.45,3000,Элитный,1
13.47,4.2,180.05,'',7662,100,1327.34,1,1400,10000,'Центр города',2,3.05,11.12,50,411.2,10000,Элитный,0
8.42,8.02,272.66,E,10985,75.2,688.53,3.59,2000,10000,'Центр города',2,3.05,11.11,1000,365.57,5000,Элитный,1
10.99,3.9,197.94,E,11134,92.55,1164.49,1,2000,1000,'Фешенебельный район',3,0,13.2,200,386.99,200,Элитный,2
10.99,3.9,197.94,E,11134,92.55,1164.49,1,1000,10000,'Центр города',2,3.05,11.12,50,391.14,10000,'Очень высокий',2
19.51,7.43,280.72,E,18782,89.85,1141.33,5.76,2100,10000,'Центр города',7,0,13.25,1000,345.78,5000,'Очень высокий',4
19.51,7.43,280.72,E,18782,89.85,1141.33,5.76,1400,10000,'Центр города',3,0,6.63,500,487.38,20000,Нормальный,4
19.51,7.43,280.72,E,18782,89.85,1141.33,5.76,900,10000,'Центр города',4,0,12.17,500,299.25,5000,'Очень высокий',4
17.47,6.07,325.43,E,24000,83.75,1011.83,7.72,5579.3,100000,'Фешенебельный район',1,0,27.71,5000,560.29,100000,Элитный,2
17.47,6.07,325.43,E,24000,83.75,1011.83,7.72,3130,100000,'Центр города',4,0,13.09,500,331.63,50000,Элитный,2
24.09,6.5,389.39,E,17805,66.05,1743.68,14.24,7417.69,100000,'Фешенебельный район',2,0,27.7,5000,594.05,50000,Элитный,2
24.09,6.5,389.39,E,17805,66.05,1743.68,14.24,2000,100000,'Центр города',4,0,11.78,500,345.6,50000,Элитный,2
16.85,8.11,333.49,E,49592,89.25,1003.53,4.78,1050,10000,'Спальный район',4,0,9.82,2000,411.62,10000,Высокий,3
16.85,8.11,333.49,E,49592,89.25,1003.53,4.78,2000,100000,'Фешенебельный район',1,0,11.38,2000,357.48,10000,Элитный,3
16.85,8.11,333.49,E,49592,89.25,1003.53,4.78,1000,10000,'Центр города',1,0,6.18,1000,178.75,3000,Элитный,3
31.87,11.17,387.83,E,89777,84.79,1991.24,15.07,5000.42,10000,'Фешенебельный район',1,0,27.71,10000,595.43,10000,Элитный,6
31.87,11.17,387.83,E,89777,84.79,1991.24,15.07,2000,10000,'Центр города',5,0,13.14,100,237.64,5000,'Очень высокий',6
31.87,11.17,387.83,E,89777,84.79,1991.24,15.07,1500,10000,'Центр города',2,3.05,11.12,50,240.92,10000,Элитный,6
31.87,11.17,387.83,E,89777,84.79,1991.24,15.07,1000,10000,'Центр города',8,0,6.05,50,349.22,10000,Низкий,6
31.87,11.17,387.83,E,89777,84.79,1991.24,15.07,2180,10000,'Фешенебельный район',3,0,20.58,1000,363.99,2000,Элитный,6
7.73,3.8,224.15,E,4937,99.09,742.32,1,700,500,'Центр города',1,0,7.11,50,99.95,100,'Очень высокий',3
7.32,3.79,237.5,E,5672,99.47,768.67,1,732,10000,'Центр города',8,0,1.63,100,188.26,1000,'Очень высокий',1
17.53,6.04,300.08,E,27448,67.17,769.74,5.4,1156.18,10000,'Центр города',1,1.72,18.63,10000,422.88,10000,Элитный,1
14.89,4.1,242.55,'',5899,100,1351.03,1,1200,10000,'Центр города',2,3.05,11.12,50,423.89,10000,'Очень высокий',0
11.13,7.83,428.9,E,52468,97.05,561.01,1,3500,100000,'Центр города',1,0,13.7,50,348.69,50000,Элитный,3
11.13,7.83,428.9,E,52468,97.05,561.01,1,849,10000,'Центр города',1,0,16.05,1000,249.24,5000,Элитный,3
11.13,7.83,428.9,E,52468,97.05,561.01,1,610,10000,'Центр города',2,0,1.34,50,159.73,2000,Элитный,3
23.07,5.5,410.32,E,5699,88.73,3979.86,1.3,6000,10000,'Центр города',5,0,4.27,50,173.13,1000,Элитный,4
23.07,5.5,410.32,E,5699,88.73,3979.86,1.3,3000,1000,'Центр города',1,0,12.52,500,565.78,5000,Высокий,4
23.07,5.5,410.32,E,5699,88.73,3979.86,1.3,3499,500,'Центр города',1,0,5.92,300,130.91,100,Элитный,4
23.07,5.5,410.32,E,5699,88.73,3979.86,1.3,5000,1000,'Спальный район',2,0,7.11,50,68.29,200,'Очень высокий',4
23.33,5.17,324.21,E,38362,75.97,1035.9,7.91,5068.65,100000,'Фешенебельный район',2,0,27.71,5000,602.13,100000,Элитный,6
