@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
20.39,5.51,274,E,40884,86.2,563.41,1.38,3579.8,100000,'Фешенебельный район',3,0,32.21,618.3,'около 100 000',Элитный,1,'около 5 000'
19.02,4.74,243.68,E,17614,92.4,1324.43,1,3400,10000,'Центр города',3,0,7.84,406.42,'около 10 000','Очень высокий',3,'около 1 000'
19.02,4.74,243.68,E,17614,92.4,1324.43,1,3800,10000,'Центр города',1,0,4.2,496.92,'более 10 000',Элитный,3,'более 100'
19.02,4.74,243.68,E,17614,92.4,1324.43,1,2000,1000,'Центр города',1,0,3.71,67.31,'около 500',Элитный,3,'более 200'
14.84,6.04,323.95,E,13521,99.89,1401.74,1,428.8,100,'Центр города',1,0,1,78.5,'около 50',Низкий,1,'менее 50'
13.47,4.2,180.05,E,16872,97.37,804.23,1,948.79,1000,'Центр города',1,0,3.7,51.67,'около 500',Элитный,1,'около 500'
8.42,8.02,272.66,E,103229,99.79,355.86,1,550,10000,'Фешенебельный район',8,0,1.39,481.9,'около 5 000',Элитный,1,'около 500'
10.99,3.9,197.94,E,24656,98.38,753.89,1,720,10000,'Центр города',4,0,11.98,528.15,'более 20 000','Очень низкий',1,'около 500'
19.51,7.43,280.72,E,40781,90.28,1925.84,1.16,5105.25,10000,'Центр города',7,0,14.92,345.78,'около 5 000','Очень высокий',3,'более 1 000'
19.51,7.43,280.72,E,40781,90.28,1925.84,1.16,2500,10000,'Центр города',4,0,11.98,299.25,'около 5 000','Очень высокий',3,'около 1 000'
19.51,7.43,280.72,E,40781,90.28,1925.84,1.16,2200,10000,'Центр города',5,0,11.98,345.31,'около 5 000','Очень высокий',3,'около 1 000'
17.47,6.07,325.43,E,48977,85.71,568.21,1.66,3197.93,100000,'Фешенебельный район',3,0,32.21,618.3,'около 100 000',Элитный,1,'около 5 000'
24.09,6.5,389.39,E,54740,89.62,654.98,1.59,3377.32,100000,'Фешенебельный район',3,0,32.21,623.74,'более 100 000',Элитный,1,'около 10 000'
16.85,8.11,333.49,E,118465,93.98,1002.44,1,3345,100000,'Спальный район',2,2.22,27.87,422.98,'более 100 000',Элитный,5,'более 2 000'
16.85,8.11,333.49,E,118465,93.98,1002.44,1,3945,100000,'Центр города',1,2.22,27.5,291.79,'около 50 000',Элитный,5,'более 3 000'
16.85,8.11,333.49,E,118465,93.98,1002.44,1,1500,10000,'Спальный район',4,0,11.98,411.62,'более 10 000',Высокий,5,'около 500'
16.85,8.11,333.49,E,118465,93.98,1002.44,1,2750,100000,'Центр города',5,0,9.65,185.73,'более 10 000',Элитный,5,'около 500'
16.85,8.11,333.49,E,118465,93.98,1002.44,1,1074,500,'Центр города',2,0,11.98,55.13,'более 200','Очень высокий',5,'более 100'
31.87,11.17,387.83,E,231131,92.1,1413.98,1.44,6000,10000,'Фешенебельный район',2,3.92,21.29,451.9,'около 5 000',Элитный,7,'около 5 000'
31.87,11.17,387.83,E,231131,92.1,1413.98,1.44,11000,10000,'Фешенебельный район',1,0.59,22.38,464.42,'около 5 000',Элитный,7,'менее 50'
31.87,11.17,387.83,E,231131,92.1,1413.98,1.44,5000,10000,'Центр города',1,4.18,13.77,431.72,'более 20 000',Элитный,7,'более 10 000'
31.87,11.17,387.83,E,231131,92.1,1413.98,1.44,5000,10000,'Центр города',1,4.18,13.48,429.08,'более 30 000','Очень высокий',7,'более 10 000'
31.87,11.17,387.83,E,231131,92.1,1413.98,1.44,5000,10000,'Центр города',1,4.18,13.23,431.46,'более 20 000',Элитный,7,'более 10 000'
31.87,11.17,387.83,E,231131,92.1,1413.98,1.44,3300,10000,'Центр города',3,0,8.1,266.12,'около 10 000',Элитный,7,'более 3 000'
31.87,11.17,387.83,E,231131,92.1,1413.98,1.44,2700,10000,'Центр города',8,0,8.22,349.22,'более 10 000',Низкий,7,'более 1 000'
17.53,6.04,300.08,E,68144,99.85,1083.63,1,3000,10000,'Центр города',3,0,9.36,331.13,'около 10 000',Элитный,1,'около 100'
