@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
12.5,5.84,266.25,E,9904,99.99,739.74,1,1600,10000,'Центр города',1,0,11.52,50,417.14,10000,Элитный,1
14.84,6.04,323.95,E,28742,99.83,514.82,1,890,10000,'Центр города',2,0,5.09,50,78.68,1000,Элитный,1
13.47,4.2,180.05,E,16911,99.99,590.46,1,1600,10000,'Центр города',1,0,11.52,50,394.97,10000,Элитный,1
10.99,3.9,197.94,E,23845,100,579.69,1,1600,10000,'Центр города',1,0,11.52,50,374.9,10000,Элитный,1
17.47,6.07,325.43,E,139997,99.93,546.76,1,1000,10000,'Спальный район',2,0,6.56,100,395.59,10000,Элитный,1
16.85,8.11,333.49,E,179122,99.89,658.61,1,2222,100000,Окраина,2,0,21.74,100,493.19,100000,Нормальный,2
31.87,11.17,387.83,E,654808,99.76,1018.67,1,4500,500,'Центр города',1,0,19.57,50,97.15,500,'Очень высокий',4
31.87,11.17,387.83,E,654808,99.76,1018.67,1,1500,10000,'Фешенебельный район',7,0,1.06,200,317.84,2000,Элитный,4
31.87,11.17,387.83,E,654808,99.76,1018.67,1,2300,1000,'Центр города',1,0,1,50,0,500,Элитный,4
23.07,5.5,410.32,D,33038,0,297.8,1.86,766,10000,'Центр города',1,2.42,14.59,30000,649.34,50000,Высокий,1
26.65,8.52,456.65,E,387761,100,1021.39,1,2000,10000,'Центр города',5,0,5.57,50,186.38,5000,Элитный,2
26.65,8.52,456.65,E,387761,100,1021.39,1,2300,10000,'Центр города',8,0,1.26,50,239.82,5000,'Очень высокий',2
21.94,6.7,374.03,E,208168,99.98,739.97,1,1465,100000,'Спальный район',4,0,5.69,50,235.26,10000,Высокий,1
11.45,2.72,132.06,E,22756,89.89,354.91,1.32,1200,100000,'Центр города',1,1.59,21.48,2000,555.39,300000,Элитный,1
4.5,2.56,61.78,E,32416,90.13,350.78,1,1200,100000,'Центр города',2,1.59,21.37,5000,501.54,200000,'Очень высокий',1
13.8,3.48,170.38,E,778648,90.75,348.15,1,1400,100000,'Центр города',1,1.59,21.37,50000,506.47,500000,'Очень высокий',1
25.04,7.31,1434.5,E,65406,93.37,1041.7,1,4444,100000,'Фешенебельный район',1,0,23.74,3000,688.44,500000,Элитный,2
25.04,7.31,1434.5,E,65406,93.37,1041.7,1,2750,100000,'Центр города',6,0,7.46,1000,279.54,20000,Элитный,2
23.89,7.7,947.88,E,202867,100,757.85,1,1399,10000,'Спальный район',3,0,5.09,100,164.9,1000,Элитный,1
35.1,7.34,1114.59,E,397292,98.84,1511.37,1,6000,100000,'Центр города',1,0,20.9,5000,516.93,500000,Элитный,1
32.43,7.48,1368,E,486649,93.61,1319.29,1,4299,100000,'Центр города',1,0,23.47,20000,651.14,1000000,Нормальный,4
32.43,7.48,1368,E,486649,93.61,1319.29,1,3090,100000,'Центр города',2,0,5.2,200,365.89,100000,Элитный,4
32.43,7.48,1368,E,486649,93.61,1319.29,1,2500,100000,'Центр города',2,0,9.94,1000,259.95,50000,Элитный,4
11.72,6.63,388.08,'',30869,100,637.44,1,1500,10000,'Центр города',2,0,11.52,50,286.87,5000,Элитный,0
27.88,6.84,1121,E,57694,98.22,1542.9,1,2900,100000,'Центр города',2,0,9.94,1000,338.71,50000,Элитный,2
27.88,6.84,1121,E,57694,98.22,1542.9,1,4500,100000,'Фешенебельный район',3,0,2.46,50,541.97,50000,Элитный,2
25.54,5,337.91,E,106766,99.06,758.16,1,3000,100000,'Центр города',2,0,21.88,1000,536.41,500000,'Очень высокий',1
15.61,5.31,281.52,E,104780,99.99,485.91,1,1600,10000,'Центр города',1,0,11.52,50,301.24,5000,Элитный,1
21.51,5.05,294.04,E,683060,100,502.85,1,1600,10000,'Центр города',1,0,11.52,50,350.19,10000,Элитный,1
20.06,6.93,1083,E,36535,94.67,958.9,1,4000,100000,'Фешенебельный район',1,0,23.34,1000,558.2,100000,Элитный,2
20.06,6.93,1083,E,36535,94.67,958.9,1,2200,100000,'Центр города',3,0,9.94,500,350.43,50000,Элитный,2
17.49,4.86,326.33,E,789168,99.35,537.18,1,329.9,10000,'Центр города',1,1.01,9.95,5000,218.12,5000,Элитный,2
17.49,4.86,326.33,E,789168,99.35,537.18,1,1257.07,100000,'Спальный район',2,0,11.52,100,259.91,50000,Элитный,2
13.2,4.05,270.24,E,382182,99.35,459.33,1,249.9,10000,'Центр города',1,1.01,9.95,2000,237.35,5000,Элитный,1
13.2,4.05,270.24,E,382182,99.35,459.33,1,1500,1000,'Центр города',1,0,3.56,50,0,500,'Очень высокий',1
7.56,2.67,107.04,E,115865,97.84,353.92,1,110.9,10000,'Центр города',1,1.01,9.95,2000,288.92,5000,Элитный,1
