@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
17.77,5.43,306.31,E,16499,91.84,2150.64,1,10999.99,10000,'Центр города',1,2.16,17.77,561.96,'более 20 000',Элитный,2,'около 50'
17.77,5.43,306.31,E,16499,91.84,2150.64,1,6800,10000,Окраина,1,0,16.54,604.05,'более 20 000',Элитный,2,'более 1 000'
11.93,5.25,168.38,E,10341,91.1,2173.68,1,6500,10000,'Спальный район',1,0.23,12.45,209.74,'более 2 000',Элитный,2,'около 1 000'
5.34,8.1,118.82,E,15732,95.75,1518.56,1,9999.99,10000,'Центр города',1,2.16,16.7,517.8,'более 20 000',Элитный,3,'менее 50'
5.34,8.1,118.82,E,15732,95.75,1518.56,1,8010,10000,'Центр города',1,4.94,21.22,507.63,'более 20 000',Элитный,3,'более 1 000'
5.34,8.1,118.82,E,15732,95.75,1518.56,1,7000,1000,Окраина,1,0,17.64,490.15,'более 2 000','Очень высокий',3,'менее 50'
16.67,4.63,262,E,42161,94.88,2183.92,1,8999.99,10000,'Центр города',1,2.16,19.31,503.99,'более 20 000',Элитный,1,'более 1 000'
15.8,4.86,257.21,E,7064,95.54,1594.21,1,7999.99,100000,'Фешенебельный район',1,0,13.41,592.26,'около 50 000',Элитный,1,'менее 50'
17.25,5.29,234.04,D,7206,30.6,2728.24,1.68,850,100000,'Центр города',5,0,14.78,311.52,'более 20 000',Элитный,1,'около 5 000'
20.4,5.75,220.01,E,177023,93.24,2684.56,1,8999.99,10000,'Центр города',1,0,19.39,507.19,'около 50 000','Очень высокий',5,'около 10 000'
20.4,5.75,220.01,E,177023,93.24,2684.56,1,22222.22,10000,'Фешенебельный район',1,1.08,27.12,679.72,'более 20 000',Элитный,5,'менее 50'
20.4,5.75,220.01,E,177023,93.24,2684.56,1,11000,10000,'Центр города',1,0,20.47,592.18,'около 100 000',Нормальный,5,'около 5 000'
20.4,5.75,220.01,E,177023,93.24,2684.56,1,20000,10000,'Фешенебельный район',1,1.63,17.81,545.94,'около 10 000',Элитный,5,'менее 50'
20.4,5.75,220.01,E,177023,93.24,2684.56,1,15000,10000,'Центр города',1,1.63,21.14,512.65,'около 50 000','Очень высокий',5,'менее 50'
18.77,10.74,409.54,E,57421,74.05,3480.36,1.49,8900,100000,'Фешенебельный район',1,0,25.67,551.76,'около 100 000',Элитный,3,'около 10 000'
17.32,4.58,251.37,E,7796,95.82,1667.09,1,7500,10000,'Фешенебельный район',1,0,9.82,589.11,'около 5 000',Элитный,3,'около 50'
17.32,4.58,251.37,E,7796,95.82,1667.09,1,7600,10000,'Центр города',1,0,18.17,603.28,'около 50 000','Очень высокий',3,'более 200'
10.46,4.31,250,E,7335,97.07,1888.13,1,7200,1000,'Спальный район',1,0,16.62,422.19,'более 1 000',Элитный,1,'более 200'
14.08,3.9,231,E,13415,99.99,1313.07,1,7200,100000,'Спальный район',1,0,19.22,307.09,'более 20 000',Элитный,1,'менее 50'
21.39,8.33,282.14,E,48892,99.18,3013.84,1,9000,100000,'Центр города',5,0,20.48,121.55,'около 10 000',Элитный,4,'около 100'
14.36,6.96,388.05,E,62040,95.16,1391.04,1,5000,100000,'Фешенебельный район',2,4.32,30.43,693.03,'более 200 000','Очень высокий',1,'около 3 000'
8,5.19,190.03,E,22451,69.1,965.41,1.05,4000,100000,'Центр города',1,1.09,25.51,567.93,'около 500 000','Очень высокий',1,'около 5 000'
13.13,4.83,286.09,E,54569,97.21,2551.46,1,7600,100000,'Фешенебельный район',3,1.15,20.44,433.72,'более 20 000',Элитный,2,'более 1 000'
13.13,4.83,286.09,E,54569,97.21,2551.46,1,12000,100000,'Центр города',1,0,25.55,498.46,'более 200 000',Элитный,2,'около 50'
15.44,4.34,192.77,E,100854,93.28,3081.07,1,10000,100000,'Центр города',7,0.04,20.41,197.44,'более 10 000',Элитный,3,'более 1 000'
15.44,4.34,192.77,E,100854,93.28,3081.07,1,10000,100000,'Центр города',2,1.85,23.24,591.91,'около 1 000 000',Низкий,3,'около 50'
15.44,4.34,192.77,E,100854,93.28,3081.07,1,9000,100000,'Центр города',1,0,15.83,176.39,'более 10 000',Элитный,3,'около 5 000'
4.38,5.13,370.94,E,10058,99.82,2182.29,1,3000,100000,'Центр города',4,0,5.15,329.41,'около 50 000',Низкий,2,'менее 50'
4.38,5.13,370.94,E,10058,99.82,2182.29,1,12499,10000,'Центр города',1,1.24,19.56,207.22,'более 3 000',Элитный,2,'менее 50'
21.35,6.02,349.44,E,121655,85.52,2191.21,1.55,7000,100000,'Центр города',1,1.09,25.51,527.76,'около 500 000','Очень высокий',5,'около 10 000'
21.35,6.02,349.44,E,121655,85.52,2191.21,1.55,9090.9,100000,'Фешенебельный район',1,3.87,25.97,691.58,'около 500 000',Элитный,5,'около 5 000'
21.35,6.02,349.44,E,121655,85.52,2191.21,1.55,6000,100000,'Спальный район',1,0.52,7.22,222.01,'более 10 000',Элитный,5,'менее 50'
21.35,6.02,349.44,E,121655,85.52,2191.21,1.55,6000,100000,'Центр города',1,0.7,5.3,205.5,'более 20 000',Элитный,5,'около 50'
15.39,7.67,310.15,E,107118,94.82,3075.78,1,11000,100000,'Фешенебельный район',1,3.97,24.25,495.81,'около 50 000',Элитный,3,'более 1 000'
15.39,7.67,310.15,E,107118,94.82,3075.78,1,10000,100000,'Центр города',6,3.86,21.94,398.58,'более 100 000','Очень высокий',3,'около 2 000'
6.1,5.24,138.68,E,14169,99.93,1542.82,1,9000,100000,'Центр города',1,0,20.22,629.44,'около 1 000 000',Высокий,1,'более 100'
8.35,4.73,146.48,'',15801,100,1012.41,1,6500,100000,'Центр города',8,0,13.43,367.69,'около 50 000',Низкий,0,'менее 50'
53.81,4.52,216.09,E,9581,95.3,5500.94,1,7000,10000,'Спальный район',7,0,13.38,446.06,'около 10 000',Высокий,2,'менее 50'
53.81,4.52,216.09,E,9581,95.3,5500.94,1,17462,10000,'Центр города',1,0,24.95,432.03,'около 10 000',Высокий,2,'около 200'
14.71,4.87,204.09,E,51874,95.07,2495.09,1,5023.7,100000,'Центр города',1,1.09,25.51,552.57,'около 500 000',Элитный,4,'около 10 000'
14.71,4.87,204.09,E,51874,95.07,2495.09,1,12000,100000,'Фешенебельный район',1,4.16,24.74,552.4,'около 100 000',Элитный,4,'около 10 000'
14.71,4.87,204.09,E,51874,95.07,2495.09,1,13000,100000,'Фешенебельный район',1,0,17.46,682.34,'более 200 000',Элитный,4,'более 1 000'
14.71,4.87,204.09,E,51874,95.07,2495.09,1,10000,100000,'Центр города',1,1.88,23.24,305.95,'около 50 000',Элитный,4,'около 300'
6.18,6.45,147.57,E,36853,99.39,1576.61,1,9500,100000,'Центр города',1,0,20.07,555.71,'около 500 000','Очень высокий',2,'около 500'
6.18,6.45,147.57,E,36853,99.39,1576.61,1,9100,100000,'Центр города',2,0,11.61,430.58,'более 100 000','Очень высокий',2,'менее 50'
12.83,6.95,308.18,E,76197,85.49,2929.79,1.82,9000,100000,'Центр города',1,2.84,25.51,614.26,'около 1 000 000',Высокий,3,'около 10 000'
12.83,6.95,308.18,E,76197,85.49,2929.79,1.82,9500,100000,'Центр города',4,0.04,20.41,351.04,'около 100 000',Высокий,3,'около 500'
12.83,6.95,308.18,E,76197,85.49,2929.79,1.82,8500,100000,'Центр города',7,0,13.38,389.91,'более 100 000',Высокий,3,'более 100'
16.43,4.36,214.7,E,142887,99.97,3085.62,1,15000,100000,'Центр города',1,0.58,19.95,443.01,'более 200 000',Элитный,1,'около 50'
11.55,4,262.12,E,32806,97.65,1694.11,1,9000,100000,'Центр города',1,0.46,25.12,533.69,'около 500 000',Элитный,1,'около 1 000'
22.67,6.3,338.83,E,126511,99.09,2439.37,1,8999.99,100000,'Фешенебельный район',1,0,19.42,542.57,'около 50 000',Элитный,2,'около 1 000'
22.67,6.3,338.83,E,126511,99.09,2439.37,1,8100,10000,'Фешенебельный район',1,1.75,22.03,512.83,'около 5 000',Элитный,2,'более 100'
28.74,6.6,298.29,E,126901,92.37,1832.51,1,8000,100000,'Фешенебельный район',1,4.02,30.43,690.03,'более 200 000',Элитный,3,'около 10 000'
28.74,6.6,298.29,E,126901,92.37,1832.51,1,8999.99,100000,'Фешенебельный район',1,0,19.42,543.33,'около 100 000',Элитный,3,'более 300'
28.74,6.6,298.29,E,126901,92.37,1832.51,1,8000,100000,'Фешенебельный район',2,0,11.59,625.99,'более 100 000',Элитный,3,'около 500'
24.61,6.2,392,E,104331,91.13,2480.72,1,7000,100000,'Фешенебельный район',2,4.02,30.43,689.58,'более 200 000','Очень высокий',2,'около 5 000'
24.61,6.2,392,E,104331,91.13,2480.72,1,9999.99,100000,'Фешенебельный район',1,0,19.42,547.2,'около 100 000',Элитный,2,'около 1 000'
17.69,4.43,238.2,E,307722,94.28,2566.68,1,9400,100000,'Центр города',1,0.01,25.49,606.72,'более 1 000 000',Нормальный,6,'около 2 000'
17.69,4.43,238.2,E,307722,94.28,2566.68,1,10000,100000,'Фешенебельный район',1,2.67,19.74,675.05,'более 200 000',Элитный,6,'более 1 000'
17.69,4.43,238.2,E,307722,94.28,2566.68,1,9500,100000,'Центр города',3,2.61,21.45,361.77,'более 100 000',Элитный,6,'около 5 000'
17.69,4.43,238.2,E,307722,94.28,2566.68,1,12000,100000,'Центр города',1,2.61,20.88,457.55,'более 200 000',Элитный,6,'более 1 000'
17.69,4.43,238.2,E,307722,94.28,2566.68,1,7000,10000,Пригород,2,0,14.64,188.53,'более 1 000','Очень высокий',6,'менее 50'
17.69,4.43,238.2,E,307722,94.28,2566.68,1,7000,100000,'Центр города',5,0,19.29,342.36,'около 100 000','Очень высокий',6,'более 1 000'
25.54,7.48,434.73,E,689991,93.7,2772.88,1,9500,100000,'Фешенебельный район',1,4.47,30.43,660.37,'более 300 000',Элитный,11,'около 10 000'
