@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
40.97,7.96,441.62,E,24652,89.93,2741.32,6.01,11000,1000,'Центр города',1,0,19.99,266.6,'более 1 000',Элитный,2,'более 100'
40.97,7.96,441.62,E,24652,89.93,2741.32,6.01,6200,1000,'Центр города',1,1.38,15.59,241.14,'более 1 000',Элитный,2,'более 2 000'
17.77,5.43,306.31,E,12927,99.88,2831.17,1,10500,10000,Окраина,1,0,12.7,604.05,'более 20 000',Элитный,2,'менее 50'
5.34,8.1,118.82,E,14559,98.47,2029.71,1,4700,1000,Окраина,1,0,9.21,490.15,'более 2 000','Очень высокий',1,'около 50'
17.25,5.29,234.04,E,5605,93.02,1539.27,1,6000,100000,'Центр города',5,0,23.1,311.52,'более 20 000',Элитный,2,'около 500'
20.4,5.75,220.01,E,133479,97.82,3129.11,1,19999.99,10000,'Центр города',1,1.46,26.37,507.19,'около 50 000','Очень высокий',4,'около 50'
20.4,5.75,220.01,E,133479,97.82,3129.11,1,15000,10000,'Центр города',1,3.67,22.06,592.18,'около 100 000',Нормальный,4,'более 1 000'
20.4,5.75,220.01,E,133479,97.82,3129.11,1,15000,10000,'Центр города',1,1.63,18.44,512.65,'около 50 000','Очень высокий',4,'около 1 000'
20.4,5.75,220.01,E,133479,97.82,3129.11,1,10000,10000,'Центр города',2,0,26.98,447.72,'более 20 000','Очень высокий',4,'около 5 000'
17.32,4.58,251.37,E,5859,94.79,1675,1,4000,10000,'Фешенебельный район',1,0,22.81,589.11,'около 5 000',Элитный,2,'около 300'
17.11,5.55,202.02,'',21096,100,2315.18,1,5000,100000,'Центр города',4,0,12.67,219.12,'более 10 000',Элитный,0,'менее 50'
21.39,8.33,282.14,E,40851,99.88,7224.91,1,5000,100000,'Центр города',4,0,5.78,425.31,'более 100 000','Очень высокий',2,'около 50'
13.13,4.83,286.09,E,53676,89.41,1046.22,2.57,1750,100000,'Центр города',4,0.17,9.92,294.02,'около 50 000',Элитный,3,'около 500'
13.13,4.83,286.09,E,53676,89.41,1046.22,2.57,3250,100000,'Центр города',3,2.65,16.27,413.44,'более 100 000',Элитный,3,'около 1 000'
13.13,4.83,286.09,E,53676,89.41,1046.22,2.57,2200,100000,'Центр города',1,1,15.45,195.43,'более 10 000',Элитный,3,'около 5 000'
15.44,4.34,192.77,E,73438,86.64,1227.34,2.83,3000,100000,'Центр города',2,1.85,25.72,591.91,'около 1 000 000',Низкий,6,'более 200'
15.44,4.34,192.77,E,73438,86.64,1227.34,2.83,1950,100000,'Спальный район',2,2.65,11.82,410.06,'более 100 000','Очень высокий',6,'около 5 000'
15.44,4.34,192.77,E,73438,86.64,1227.34,2.83,2800,100000,'Центр города',1,1,15.71,176.39,'более 10 000',Элитный,6,'около 5 000'
15.44,4.34,192.77,E,73438,86.64,1227.34,2.83,5500,100000,'Центр города',1,0,19.33,411.94,'более 100 000',Элитный,6,'менее 50'
4.38,5.13,370.94,E,19249,99.87,865.9,1,2000,100000,'Центр города',4,0,8.72,329.41,'около 50 000',Низкий,1,'около 50'
21.35,6.02,349.44,E,94232,98.83,5910.51,1,6000,100000,'Спальный район',1,0,11.46,222.01,'более 10 000',Элитный,2,'около 500'
21.35,6.02,349.44,E,94232,98.83,5910.51,1,7000,100000,'Центр города',1,0,11.46,205.5,'более 20 000',Элитный,2,'около 500'
4.3,5.37,139.53,E,43453,72.81,207.76,1.08,575,10000,'Спальный район',1,0.41,22.62,586.04,'около 50 000','Очень высокий',1,'более 10 000'
6.1,5.24,138.68,E,12815,99.55,1412.88,1,11000,100000,'Центр города',1,3.88,22.28,629.44,'около 1 000 000',Высокий,2,'менее 50'
