@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
40.97,7.96,441.62,E,307654,64.16,113.68,16.25,300,1000,'Центр города',1,0,31.33,496.3,'около 5 000',Нормальный,3,'около 5 000'
40.97,7.96,441.62,E,307654,64.16,113.68,16.25,130,1000,'Центр города',1,2.15,26.4,241.14,'около 1 000',Элитный,3,'около 50 000'
40.97,7.96,441.62,E,307654,64.16,113.68,16.25,300,1000,'Центр города',2,0,65.32,195.72,'более 1 000','Очень высокий',3,'около 5 000'
8.69,6.2,217.41,E,360827,94.33,28,1,90.34,10000,'Центр города',2,4.3,91.42,591.59,'более 20 000',Высокий,2,'более 10 000'
8.69,6.2,217.41,E,360827,94.33,28,1,30,100,'Фешенебельный район',2,0,13.03,223.41,'менее 50','Очень высокий',2,'менее 50'
17.77,5.43,306.31,E,163968,69.37,41.3,29.29,85,10000,'Центр города',2,4.3,71.7,562.02,'более 20 000',Высокий,2,'около 50 000'
11.25,5.5,181.76,E,135327,74.02,28.25,10.4,25,10000,'Спальный район',1,0,14.07,301.42,'около 5 000',Элитный,1,'около 50 000'
11.93,5.25,168.38,E,203446,75.93,57.28,1.72,86,10000,'Центр города',1,0,38.95,454.81,'более 10 000',Элитный,3,'около 50 000'
11.93,5.25,168.38,E,203446,75.93,57.28,1.72,20.65,10000,'Спальный район',3,0,14.27,515.29,'более 10 000',Высокий,3,'около 5 000'
11.93,5.25,168.38,E,203446,75.93,57.28,1.72,85.23,10000,'Спальный район',3,0,29.56,377.35,'около 5 000','Очень высокий',3,'около 5 000'
5.34,8.1,118.82,D,200468,45.13,22.7,17.86,45,10000,'Фешенебельный район',1,1.93,40.28,642.19,'более 10 000',Элитный,2,'около 30 000'
5.34,8.1,118.82,D,200468,45.13,22.7,17.86,46.7,10000,'Центр города',1,4.3,33.08,517.84,'более 20 000',Элитный,2,'около 50 000'
16.67,4.63,262,B,306682,0,22.96,24.01,31.7,10000,'Центр города',1,2.67,27.3,676.56,'около 100 000',Нормальный,4,'около 500 000'
16.67,4.63,262,B,306682,0,22.96,24.01,20.1,10000,'Центр города',2,0.29,24.3,489.26,'более 20 000','Очень низкий',4,'около 10 000'
15.8,4.86,257.21,E,103459,99.23,68.87,1,35,10000,'Спальный район',3,0,10.15,582.96,'более 20 000',Высокий,1,'около 1 000'
20.4,5.75,220.01,E,2207201,90.7,60.36,31.71,64.99,10000,'Фешенебельный район',1,0,38.95,531.02,'около 10 000',Элитный,7,'более 100 000'
20.4,5.75,220.01,E,2207201,90.7,60.36,31.71,23,10000,'Центр города',1,0,21.1,462.82,'более 30 000','Очень высокий',7,'менее 50'
20.4,5.75,220.01,E,2207201,90.7,60.36,31.71,102,10000,'Центр города',1,0,99.36,390.48,'более 10 000',Элитный,7,'около 20 000'
20.4,5.75,220.01,E,2207201,90.7,60.36,31.71,26,10000,'Центр города',1,2.67,26.97,619.87,'более 100 000',Нормальный,7,'более 100 000'
20.4,5.75,220.01,E,2207201,90.7,60.36,31.71,85,10000,'Спальный район',1,0,87.78,140.38,'более 2 000',Элитный,7,'около 50 000'
18.77,10.74,409.54,D,595095,32.51,41.48,30.66,85,100000,'Центр города',3,0,93.57,302.4,'около 50 000',Элитный,6,'около 30 000'
18.77,10.74,409.54,D,595095,32.51,41.48,30.66,21,10000,Окраина,1,0,9.37,124.47,'более 1 000',Элитный,6,'около 500'
18.77,10.74,409.54,D,595095,32.51,41.48,30.66,74.02,10000,'Центр города',2,0.3,57.44,442.12,'более 20 000','Очень высокий',6,'более 100 000'
18.77,10.74,409.54,D,595095,32.51,41.48,30.66,74,100000,'Фешенебельный район',1,0.3,57.44,441.69,'более 20 000','Очень высокий',6,'более 100 000'
17.32,4.58,251.37,E,91169,61.61,26.14,3.84,52.3,10000,'Центр города',2,0.63,33.08,604.61,'около 50 000',Высокий,1,'около 50 000'
10.46,4.31,250,E,100396,98.89,53.44,1,135,500,Окраина,2,0.38,48.34,221.06,'более 100',Элитный,1,'более 2 000'
17.11,5.55,202.02,E,258726,67.48,30.98,23.32,51.79,10000,'Центр города',2,3.44,33.08,514.57,'более 20 000',Высокий,3,'около 100 000'
17.11,5.55,202.02,E,258726,67.48,30.98,23.32,40.01,1000,'Центр города',1,0,38.93,267.78,'более 1 000','Очень низкий',3,'более 2 000'
7.34,3.82,151.62,E,115663,96.45,36.36,1,45,100000,'Центр города',2,0,12.55,389.03,'около 50 000',Элитный,2,'около 1 000'
7.34,3.82,151.62,E,115663,96.45,36.36,1,35.2,1000,'Центр города',1,0,38.7,410.86,'более 2 000','Очень низкий',2,'около 5 000'
