@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
40.97,7.96,441.62,E,136722,86.8,592.12,1.1,700,1000,'Фешенебельный район',1,0,35.15,549.18,'более 1 000',Элитный,1,'более 10 000'
8.69,6.2,217.41,E,53806,85.13,76.53,9.21,200,10000,'Фешенебельный район',1,5.32,40.83,574.18,'около 5 000',Элитный,1,'около 10 000'
17.77,5.43,306.31,E,16448,67.59,143.88,20.64,750,10000,'Фешенебельный район',1,5.32,41.55,546.52,'более 3 000',Элитный,3,'около 5 000'
11.25,5.5,181.76,E,14694,92.59,101.77,5.04,838,10000,'Фешенебельный район',1,5.32,42.47,548.15,'около 5 000',Элитный,1,'более 1 000'
11.93,5.25,168.38,E,12134,78.51,113.87,13.46,791,10000,'Фешенебельный район',1,5.32,42.01,519.64,'около 5 000',Элитный,2,'более 1 000'
5.34,8.1,118.82,D,68439,0,40.06,24.19,155,10000,'Фешенебельный район',1,5.32,40.83,503.42,'около 5 000',Элитный,5,'более 10 000'
5.34,8.1,118.82,D,68439,0,40.06,24.19,300,10000,'Центр города',1,0,50.43,449.46,'более 10 000',Элитный,5,'более 200'
16.67,4.63,262,D,53156,14.8,70.46,29.74,210,10000,'Фешенебельный район',1,5.32,41.72,489.93,'более 3 000',Элитный,1,'около 50 000'
15.8,4.86,257.21,E,39780,66.98,20.8,9.85,110,10000,'Фешенебельный район',1,5.32,42.1,574.88,'около 5 000',Элитный,1,'более 10 000'
20.4,5.75,220.01,D,308065,0,123.99,31.83,120,10000,'Фешенебельный район',1,0,27.11,412.18,'более 2 000',Элитный,8,'более 100'
20.4,5.75,220.01,D,308065,0,123.99,31.83,260,10000,'Фешенебельный район',1,5.32,40.97,381.49,'более 2 000',Элитный,8,'около 50 000'
20.4,5.75,220.01,D,308065,0,123.99,31.83,145,10000,'Центр города',1,0,40.92,423.75,'более 20 000',Элитный,8,'более 100 000'
20.4,5.75,220.01,D,308065,0,123.99,31.83,140,1000,'Спальный район',1,3.02,50.39,188.87,'более 1 000',Элитный,8,'более 20 000'
18.77,10.74,409.54,E,209742,71.22,96.89,33.99,490.65,100000,'Центр города',1,4.37,47.23,532.64,'около 500 000',Элитный,4,'около 50 000'
18.77,10.74,409.54,E,209742,71.22,96.89,33.99,50,100000,'Центр города',3,0,21.97,513.84,'более 200 000','Очень высокий',4,'около 50'
18.77,10.74,409.54,E,209742,71.22,96.89,33.99,80,100000,'Центр города',1,2.71,23.52,604.43,'около 1 000 000','Очень высокий',4,'около 500'
18.77,10.74,409.54,E,209742,71.22,96.89,33.99,46,100000,'Центр города',1,2.71,23.52,600.5,'около 1 000 000','Очень высокий',4,'более 20 000'
17.32,4.58,251.37,E,38175,55.14,15.54,24.72,139,10000,'Фешенебельный район',1,0,40.53,679.53,'около 10 000','Очень высокий',3,'около 50'
