@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
40.97,7.96,441.62,E,377972,92.55,361.07,1,496,1000,Окраина,2,0.04,5.71,241.14,'около 1 000','Очень высокий',3,'около 5 000'
40.97,7.96,441.62,E,377972,92.55,361.07,1,500,1000,'Центр города',1,0,6.37,241.14,'около 1 000',Элитный,3,'более 10 000'
40.97,7.96,441.62,E,377972,92.55,361.07,1,750,1000,'Спальный район',3,0.2,12.96,317.8,'более 1 000',Нормальный,3,'около 5 000'
8.69,6.2,217.41,E,107001,86.64,101.63,2.61,255.61,10000,'Центр города',2,4.3,5.69,591.59,'более 20 000',Высокий,2,'более 2 000'
17.77,5.43,306.31,E,210973,88.65,115.01,1,215.77,10000,'Центр города',2,4.3,5.69,562.02,'более 20 000',Высокий,4,'более 20 000'
11.25,5.5,181.76,E,109098,86.9,102.88,2.39,160,10000,'Спальный район',1,0.02,6.37,301.42,'около 5 000',Элитный,3,'более 10 000'
11.93,5.25,168.38,E,181549,77.47,76.87,2.5,220,10000,'Центр города',1,0,30.76,680.66,'около 50 000',Высокий,2,'около 50 000'
5.34,8.1,118.82,E,311876,74,77.97,1.91,280,10000,'Центр города',1,4.3,5.71,517.84,'более 20 000',Элитный,2,'менее 50'
5.34,8.1,118.82,E,311876,74,77.97,1.91,150,10000,'Центр города',1,4.35,6.71,509.2,'более 20 000',Элитный,2,'около 50 000'
20.4,5.75,220.01,E,1860595,79.49,136.2,3.58,329.99,10000,'Фешенебельный район',1,0.5,13.71,531.02,'около 10 000',Элитный,9,'около 100 000'
20.4,5.75,220.01,E,1860595,79.49,136.2,3.58,350,10000,'Центр города',1,1.94,9.29,502.49,'около 50 000','Очень высокий',9,'около 10 000'
20.4,5.75,220.01,E,1860595,79.49,136.2,3.58,180,10000,'Центр города',1,0.3,6.42,462.82,'более 30 000','Очень высокий',9,'более 100 000'
20.4,5.75,220.01,E,1860595,79.49,136.2,3.58,286,10000,'Центр города',1,4.3,5.71,390.48,'более 10 000',Элитный,9,'более 1 000'
20.4,5.75,220.01,E,1860595,79.49,136.2,3.58,160,10000,'Центр города',1,3.41,6.71,323.35,'около 10 000',Элитный,9,'более 200 000'
20.4,5.75,220.01,E,1860595,79.49,136.2,3.58,150,10000,'Спальный район',1,0,7.24,140.38,'более 2 000',Элитный,9,'более 20 000'
20.4,5.75,220.01,E,1860595,79.49,136.2,3.58,185,10000,'Центр города',2,0,8.73,374.87,'более 10 000',Высокий,9,'около 5 000'
18.77,10.74,409.54,E,1091179,84.05,108.15,3.41,200,100000,'Центр города',1,0.21,5.94,591.95,'около 500 000','Очень высокий',4,'более 200 000'
18.77,10.74,409.54,E,1091179,84.05,108.15,3.41,180,10000,Окраина,1,0.11,5.41,124.47,'более 1 000',Элитный,4,'более 1 000'
18.77,10.74,409.54,E,1091179,84.05,108.15,3.41,189,10000,'Центр города',2,0,6.36,442.12,'более 20 000','Очень высокий',4,'около 10 000'
18.77,10.74,409.54,E,1091179,84.05,108.15,3.41,200,100000,'Фешенебельный район',1,0.38,7.1,441.69,'более 20 000','Очень высокий',4,'около 50 000'
17.32,4.58,251.37,E,88826,95.87,108.17,1,240.27,10000,'Центр города',2,0.63,5.64,604.61,'около 50 000',Высокий,1,'около 5 000'
17.11,5.55,202.02,E,249469,90.45,121.33,1,243.25,10000,'Центр города',2,0.63,5.67,514.57,'более 20 000',Высокий,3,'более 10 000'
17.11,5.55,202.02,E,249469,90.45,121.33,1,178.22,1000,'Центр города',1,0,6.33,267.78,'более 1 000','Очень низкий',3,'более 1 000'
17.11,5.55,202.02,E,249469,90.45,121.33,1,166.39,10000,'Центр города',1,0.39,10.37,208.99,'более 2 000',Элитный,3,'более 10 000'
7.34,3.82,151.62,E,59594,78.09,89.94,2.27,170,100000,'Центр города',2,1.81,5.86,389.03,'около 50 000',Элитный,2,'более 10 000'
7.34,3.82,151.62,E,59594,78.09,89.94,2.27,130.26,1000,'Центр города',1,0,7.1,410.86,'более 2 000','Очень низкий',2,'около 500'
21.39,8.33,282.14,E,649405,79.03,122.48,1.49,200,100000,'Центр города',2,1.84,5.13,443.36,'более 100 000',Элитный,4,'около 100 000'
21.39,8.33,282.14,E,649405,79.03,122.48,1.49,222.22,10000,'Центр города',1,0.02,28.72,424.5,'более 10 000',Высокий,4,'около 50 000'
21.39,8.33,282.14,E,649405,79.03,122.48,1.49,175,100000,'Спальный район',4,0,6.56,396.7,'около 50 000',Элитный,4,'более 200'
21.39,8.33,282.14,E,649405,79.03,122.48,1.49,200,1000,'Спальный район',1,0.3,7.24,157.95,'около 500',Элитный,4,'более 1 000'
14.36,6.96,388.05,E,413184,99.9,138.27,1,339.99,100000,'Фешенебельный район',1,4.64,19.51,364.72,'более 10 000',Элитный,2,'около 20 000'
14.36,6.96,388.05,E,413184,99.9,138.27,1,360,10000,'Спальный район',2,0,5.59,212.55,'более 2 000',Элитный,2,'менее 50'
14.36,6.96,388.05,E,413184,99.9,138.27,1,205,500,Окраина,1,0,13.07,10.7,'более 100',Элитный,2,'около 1 000'
8,5.19,190.03,E,421891,99.93,48.83,1,145,10000,'Центр города',2,1.84,6.1,329.9,'около 5 000',Элитный,2,'более 100'
8,5.19,190.03,E,421891,99.93,48.83,1,115,10000,'Спальный район',1,0,6.3,175.73,'более 2 000',Элитный,2,'около 50'
13.13,4.83,286.09,E,503472,76.02,97.82,3.2,190,100000,'Центр города',1,0.38,7.1,563.45,'около 500 000','Очень высокий',4,'около 50 000'
13.13,4.83,286.09,E,503472,76.02,97.82,3.2,170,100000,'Центр города',2,0,6.3,428.99,'более 100 000',Высокий,4,'около 10 000'
